"group","id","time","y"
1,1,1,2
1,1,2,5
1,1,3,5
1,1,4,6
1,1,5,2
1,1,6,3
1,1,7,3
1,1,8,4
1,1,9,5
1,1,10,4
1,1,11,4
1,1,12,4
1,1,13,3
1,1,14,3
1,1,15,4
1,1,16,4
1,1,17,5
1,1,18,4
1,1,19,5
1,1,20,4
1,1,21,5
1,1,22,3
1,1,23,5
1,1,24,3
1,1,25,5
1,1,26,4
1,1,27,4
1,1,28,4
1,1,29,5
1,1,30,4
1,1,31,3
1,1,32,3
1,1,33,4
1,1,34,4
1,1,35,5
1,1,36,3
1,1,37,4
1,1,38,3
1,1,39,5
1,1,40,4
1,1,41,3
1,1,42,4
1,1,43,4
1,1,44,4
1,1,45,4
1,1,46,4
1,1,47,4
1,1,48,3
1,1,49,3
1,1,50,4
1,1,51,4
1,1,52,5
1,1,53,5
1,1,54,4
1,1,55,5
1,1,56,4
1,1,57,4
1,1,58,5
1,1,59,4
1,1,60,5
1,1,61,4
1,1,62,3
1,1,63,4
1,1,64,4
1,1,65,4
1,1,66,4
1,1,67,4
1,1,68,4
1,1,69,5
1,1,70,4
1,1,71,4
1,1,72,4
1,1,73,4
1,1,74,5
1,1,75,4
1,1,76,4
1,1,77,4
1,1,78,4
1,1,79,3
1,1,80,4
1,2,1,6
1,2,2,4
1,2,3,4
1,2,4,4
1,2,5,5
1,2,6,3
1,2,7,3
1,2,8,4
1,2,9,5
1,2,10,5
1,2,11,6
1,2,12,3
1,2,13,4
1,2,14,3
1,2,15,4
1,2,16,3
1,2,17,3
1,2,18,4
1,2,19,3
1,2,20,4
1,2,21,5
1,2,22,6
1,2,23,5
1,2,24,3
1,2,25,4
1,2,26,2
1,2,27,4
1,2,28,4
1,2,29,3
1,2,30,5
1,2,31,5
1,2,32,4
1,2,33,6
1,2,34,4
1,2,35,5
1,2,36,3
1,2,37,4
1,2,38,4
1,2,39,4
1,2,40,4
1,2,41,4
1,2,42,4
1,2,43,4
1,2,44,4
1,2,45,4
1,2,46,3
1,2,47,5
1,2,48,5
